,address,listingby,price,beds,baths,sqft,building_type,price/sqft
0,"956 Valencia St. | 956 Valencia St, San Francisco, CA",NaN,"$4,595+ 4 bds",NaN,NaN,NaN,NaN,NaN
1,"333 Main St UNIT 4J, San Francisco, CA 94105",NaN,"$3,650/mo",1 bd,1 ba,815 sqft,- Apartment for rent,NaN
2,"1271 10th Ave, San Francisco, CA 94122",NaN,"$4,900/mo",3 bds,1.5 ba,"1,675 sqft",- Apartment for rent,NaN
3,"2027 Market St APT 9, San Francisco, CA 94114",NaN,"$4,200/mo",2 bds,2 ba,"1,032 sqft",- Condo for rent,NaN
4,"161 Broderick St #3, San Francisco, CA 94117",NaN,"$2,795/mo",1 bd,1 ba,910 sqft,- Apartment for rent,NaN
5,"1755 Filbert St APT 1D, San Francisco, CA 94123",NaN,"$4,200/mo",1 bd,1 ba,"1,000 sqft",- Apartment for rent,NaN
6,"3070 California St, San Francisco, CA",NaN,"$3,000+ 2 bds",NaN,NaN,NaN,NaN,NaN
7,"198 Hancock St #A, San Francisco, CA 94114",NaN,"$2,250/mo",1 bd,1 ba,500 sqft,- Apartment for rent,NaN
8,"1160 Mission St, San Francisco, CA",NaN,"$3,000+ 1 bd","$4,980 3 bds",NaN,NaN,NaN,NaN
9,"47 Oakwood St, San Francisco, CA 94110",NaN,"$3,600/mo",2 bds,1 ba,-- sqft,- Apartment for rent,NaN
10,"969 Hampshire St #A, San Francisco, CA 94110",NaN,"$4,500/mo",2 bds,1 ba,"1,322 sqft",- Apartment for rent,NaN
11,"253 Collingwood St, San Francisco, CA 94114",NaN,"$24,995/mo",5 bds,4 ba,"4,015 sqft",- House for rent,NaN
12,"(undisclosed Address), San Francisco, CA 94115",NaN,"$7,000/mo",4 bds,2 ba,"1,500 sqft",- Apartment for rent,NaN
13,"125 3rd Ave APT 1, San Francisco, CA 94118",NaN,"$1,400/mo",1 bd,1 ba,750 sqft,- Apartment for rent,NaN
14,"2851 Fillmore St #7, San Francisco, CA 94123",NaN,"$2,400/mo",Studio,1 ba,350 sqft,- Apartment for rent,NaN
15,"1225 Bay St, San Francisco, CA",NaN,"$2,750+ 1 bd",NaN,NaN,NaN,NaN,NaN
16,"2117 Pierce St, San Francisco, CA 94115",NaN,"$2,795/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
17,"200 Brannan St APT 322, San Francisco, CA 94107",NaN,"$6,250/mo",3 bds,2 ba,"2,042 sqft",- Apartment for rent,NaN
18,"1247 Harrison St APT 21, San Francisco, CA 94103",NaN,"$3,500/mo",1 bd,1.5 ba,"1,089 sqft",- Apartment for rent,NaN
19,"71 Harper St, San Francisco, CA 94131",NaN,"$2,500/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
20,"900 Bush St, San Francisco, CA",NaN,"$2,500+ 1 bd",NaN,NaN,NaN,NaN,NaN
21,"2146 Van Ness Ave #7, San Francisco, CA 94109",NaN,"$2,195/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
22,"8101 Geary Blvd APT 304, San Francisco, CA 94121",NaN,"$2,495/mo",2 bds,1 ba,-- sqft,- Apartment for rent,NaN
23,"2340 Pacific Ave APT 104, San Francisco, CA 94115",NaN,"$2,995/mo",1 bd,1 ba,750 sqft,- Apartment for rent,NaN
24,"258 Baltimore Way, San Francisco, CA 94112",NaN,"$4,750/mo",4 bds,3 ba,"1,438 sqft",- House for rent,NaN
25,"2909-2911 Irving St, San Francisco, CA 94122",NaN,"$9,000/mo",5 bds,5 ba,"2,936 sqft",- House for rent,NaN
26,"129 Arkansas St APT 3, San Francisco, CA 94107",NaN,"$2,890/mo",1 bd,1 ba,650 sqft,- Apartment for rent,NaN
27,"1295 47th Ave - 11 | 1295 47th Ave, San Francisco, CA",NaN,"$2,400+ 2 bds",NaN,NaN,NaN,NaN,NaN
28,"1241 Scott St, San Francisco, CA",NaN,"$4,500 2 bds","$5,200 3 bds",NaN,NaN,NaN,NaN
29,"(undisclosed Address), San Francisco, CA 94122",NaN,"$6,000/mo",5 bds,2 ba,"2,200 sqft",- House for rent,NaN
30,"Windsor at Dogpatch | 2660 3rd St, San Francisco, CA",NaN,"$2,120+ Studio","$2,985+ 1 bd","$3,190+ 2 bds",NaN,NaN,NaN
31,"2265 Larkin St APT 19, San Francisco, CA 94109",NaN,"$1,900/mo",Studio,1 ba,500 sqft,- Apartment for rent,NaN
32,"2480 Washington St APT 408, San Francisco, CA 94115",NaN,"$2,000/mo",Studio,1 ba,540 sqft,- Apartment for rent,NaN
33,"1010 Anza St #104, San Francisco, CA 94118",NaN,"$2,395/mo",1 bd,1 ba,600 sqft,- Apartment for rent,NaN
34,"1302 Taylor St | 1302 Taylor St, San Francisco, CA",NaN,"$2,250+ 1 bd",NaN,NaN,NaN,NaN,NaN
35,"7 Vandewater St STE 303, San Francisco, CA 94133",NaN,"$2,900/mo",1 bd,1 ba,630 sqft,- Apartment for rent,NaN
36,"2001 Mcallister St, San Francisco, CA",NaN,"$3,000+ 1 bd",NaN,NaN,NaN,NaN,NaN
37,"199 Tiffany Ave APT 305, San Francisco, CA 94110",NaN,"$3,500/mo",2 bds,2 ba,934 sqft,- Apartment for rent,NaN
38,"1221 Harrison St APT 8, San Francisco, CA 94103",NaN,"$4,400/mo",1 bd,2 ba,"1,400 sqft",- Apartment for rent,NaN
39,"Olume | 1401 Mission St, San Francisco, CA",NaN,"$2,313+ Studio","$2,993+ 1 bd","$3,727+ 2 bds",NaN,NaN,NaN
40,"2749 McAllister #6 | 2749 Mcallister St, San Francisco, CA",NaN,"$2,200 1 bd","$2,950+ 2 bds",NaN,NaN,NaN,NaN
41,"One Henry Adams | 1 Henry Adams St S, San Francisco, CA",NaN,"$2,337+ Studio","$2,982+ 1 bd","$3,926+ 2 bds",NaN,NaN,NaN
42,"2088 Bush St, San Francisco, CA 94115",NaN,"$3,295/mo",1 bd,1 ba,650 sqft,- House for rent,NaN
43,"1085 Washington St, San Francisco, CA",NaN,"$2,150 1 bd","$2,395 3 bds","$2,450 4 bds",NaN,NaN,NaN
44,"260 Page St, San Francisco, CA",NaN,"$2,195+ Studio",NaN,NaN,NaN,NaN,NaN
45,"2002 3rd St APT 106, San Francisco, CA 94107",NaN,"$3,500/mo",1 bd,1.5 ba,776 sqft,- Apartment for rent,NaN
46,"1878 Market St #202, San Francisco, CA 94102",NaN,"$1,175/mo",Studio,1 ba,-- sqft,- Apartment for rent,NaN
47,"4670 25th St, San Francisco, CA 94114",NaN,"$4,995/mo",2 bds,2 ba,993 sqft,- Apartment for rent,NaN
48,"30 Corwin St APT 7, San Francisco, CA 94114",NaN,"$3,250/mo",2 bds,1 ba,-- sqft,- Apartment for rent,NaN
49,"88 King St, San Francisco, CA",NaN,"$4,250+ 2 bds",NaN,NaN,NaN,NaN,NaN
50,"1748 Hyde St, San Francisco, CA 94109",NaN,"$2,950/mo",3 bds,1 ba,-- sqft,- Apartment for rent,NaN
51,"3561 Pierce St, San Francisco, CA 94123",NaN,"$4,500/mo",2 bds,1 ba,"1,400 sqft",- Apartment for rent,NaN
52,"446 11th Ave APT 1, San Francisco, CA 94118",NaN,"$3,250/mo",2 bds,1.5 ba,"1,050 sqft",- Apartment for rent,NaN
53,"749 34th Ave, San Francisco, CA 94121",NaN,"$4,995/mo",4 bds,4 ba,-- sqft,- House for rent,NaN
54,"1012 Stanyan St, San Francisco, CA 94117",NaN,"$8,500/mo",3 bds,3 ba,"1,755 sqft",- Apartment for rent,NaN
55,"1525 18th St, San Francisco, CA 94107",NaN,"$6,500/mo",4 bds,2 ba,"1,435 sqft",- House for rent,NaN
56,"5940 California St APT 2, San Francisco, CA 94121",NaN,"$2,995/mo",1 bd,1 ba,975 sqft,- Apartment for rent,NaN
57,"520 Clayton St APT 3, San Francisco, CA 94117",NaN,"$2,700/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
58,"18 10th St, San Francisco, CA",NaN,"$4,400+ 1 bd",NaN,NaN,NaN,NaN,NaN
59,"4010 Mission St #1, San Francisco, CA 94112",NaN,"$2,395/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
60,"425 1st St, San Francisco, CA",NaN,"$4,100+ 1 bd","$5,200+ 2 bds",NaN,NaN,NaN,NaN
61,"2320 California St, San Francisco, CA 94115",NaN,"$4,175/mo",3 bds,1 ba,"1,000 sqft",- Apartment for rent,NaN
62,"Alchemy | 200 Buchanan St, San Francisco, CA",NaN,"$3,325+ 1 bd","$4,505+ 2 bds",NaN,NaN,NaN,NaN
63,"Dolores Coliving | 1813 15th St, San Francisco, CA",NaN,"$1,450+ Studio",NaN,NaN,NaN,NaN,NaN
64,"Fox Plaza | 1390 Market St, San Francisco, CA",NaN,"$1,705+ Studio",NaN,NaN,NaN,NaN,NaN
65,"500 Folsom | 500 Folsom St, San Francisco, CA",NaN,"$2,756+ Studio","$3,323+ 1 bd","$5,387+ 2 bds",NaN,NaN,NaN
66,"388 Beale | 388 Beale St, San Francisco, CA",NaN,"$3,998+ 1 bd","$4,713+ 2 bds",NaN,NaN,NaN,NaN
67,"511 Missouri St APT A, San Francisco, CA 94107",NaN,"$9,995/mo",4 bds,2 ba,-- sqft,- Apartment for rent,NaN
68,"615 Cole St APT 1, San Francisco, CA 94117",NaN,"$2,895/mo",2 bds,1 ba,"1,000 sqft",- Apartment for rent,NaN
69,"6 Nottingham Pl ROOM 10, San Francisco, CA 94133",NaN,"$1,475/mo",Studio,1 ba,81 sqft,- Apartment for rent,NaN
70,"1850 Clay St APT 303, San Francisco, CA 94109",NaN,"$2,595/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
71,"802 Indiana St FLOOR 2-ID220, San Francisco, CA 94107",NaN,"$4,020/mo",1 bd,1 ba,667 sqft,- Apartment for rent,NaN
72,"50 8th St #J9ZK1B015, San Francisco, CA 94103",NaN,"$1,650+/mo",Studio,1 ba,325 sqft,- Apartment for rent,NaN
73,"2072 Mission St #8, San Francisco, CA 94110",NaN,"$1,575/mo",Studio,1 ba,125 sqft,- Apartment for rent,NaN
74,"345 6th St | 345 6th St, San Francisco, CA",NaN,"$1,795+ Studio",NaN,NaN,NaN,NaN,NaN
75,"1190 Mission at Trinity Place | 1190 Mission St, San Francisco, CA",NaN,"$1,759+ Studio","$2,399 2 bds",NaN,NaN,NaN,NaN
76,"1385 Clay Street | 1385 Clay St, San Francisco, CA",NaN,"$1,695+ Studio","$2,195+ 1 bd",NaN,NaN,NaN,NaN
77,"1100 Masonic Avenue | 1100 Masonic Ave, San Francisco, CA",NaN,"$2,300+ 1 bd",NaN,NaN,NaN,NaN,NaN
78,"1220 Kearny St, San Francisco, CA 94133",NaN,"$3,800/mo",1 bd,1.5 ba,"1,000 sqft",- House for rent,NaN
79,"1250 California St #69K4ENMKZ, San Francisco, CA 94109",NaN,"$5,295+/mo",3 bds,1 ba,"1,210 sqft",- Apartment for rent,NaN
80,"4155 Cesar Chavez St #9, San Francisco, CA 94131",NaN,"$2,650/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
81,"2485 Chestnut St #305, San Francisco, CA 94123",NaN,"$2,050/mo",Studio,1 ba,511 sqft,- Apartment for rent,NaN
82,"2210 Jackson St, San Francisco, CA 94115",NaN,"$6,700/mo",3 bds,3 ba,-- sqft,- Apartment for rent,NaN
83,"1845 Green Street | 1845 Green St, San Francisco, CA",NaN,"$2,125 Studio","$2,425 1 bd",NaN,NaN,NaN,NaN
84,"16 Cole St APT 3, San Francisco, CA 94117",NaN,"$2,250/mo",1 bd,1 ba,525 sqft,- Apartment for rent,NaN
85,"510 3rd Avenue | 510 3rd Ave, San Francisco, CA",NaN,"$2,350 1 bd","$2,995 2 bds",NaN,NaN,NaN,NaN
86,"2148 Broderick St APT 2, San Francisco, CA 94115",NaN,"$1,450/mo",Studio,1 ba,194 sqft,- Apartment for rent,NaN
87,"Webster Tower and Terrace | 1489 Webster St, San Francisco, CA",NaN,"$2,195+ 1 bd","$2,550+ 2 bds","$3,400+ 3 bds",NaN,NaN,NaN
88,"(undisclosed Address), San Francisco, CA 94112",NaN,"$4,000/mo",3 bds,2 ba,"1,550 sqft",- Apartment for rent,NaN
89,"111 Chestnut St, San Francisco, CA 94111",NaN,"$3,150/mo",1 bd,1 ba,620 sqft,- House for rent,NaN
90,"949 Fell St APT 11, San Francisco, CA 94117",NaN,"$5,395/mo",3 bds,3 ba,"1,200 sqft",- Apartment for rent,NaN
91,"180 Guerrero St #A, San Francisco, CA 94103",NaN,"$4,145/mo",2 bds,1 ba,935 sqft,- Apartment for rent,NaN
92,"539 Octavia St APT 16, San Francisco, CA 94102",NaN,"$1,525/mo",Studio,1 ba,-- sqft,- Apartment for rent,NaN
93,"1188 Mission at Trinity Place | 1188 Mission St, San Francisco, CA",NaN,"$1,719+ Studio","$2,199+ 1 bd",NaN,NaN,NaN,NaN
94,"2459 Larkin St APT 9, San Francisco, CA 94109",NaN,"$11,595/mo",5 bds,3.5 ba,"2,660 sqft",- Apartment for rent,NaN
95,"2240 Larkin St APT 204, San Francisco, CA 94109",NaN,"$3,995/mo",2 bds,1 ba,670 sqft,- Apartment for rent,NaN
96,"3150 Franklin St #5, San Francisco, CA 94123",NaN,"$4,895/mo",2 bds,1 ba,879 sqft,- Apartment for rent,NaN
97,"Grosvenor Court | 2055 Sacramento St, San Francisco, CA",NaN,"$2,100+ 1 bd","$2,600+ 2 bds",NaN,NaN,NaN,NaN
98,"1833 Filbert St APT 6, San Francisco, CA 94123",NaN,"$4,750/mo",3 bds,2 ba,"1,100 sqft",- Apartment for rent,NaN
99,"175 28th St, San Francisco, CA",NaN,"$3,150 1 bd","$3,950 2 bds",NaN,NaN,NaN,NaN
100,"3266 21st St | 3266 21st St, San Francisco, CA",NaN,"$1,795+ Studio",NaN,NaN,NaN,NaN,NaN
101,"2400 Van Ness Ave | 2400 Van Ness Ave, San Francisco, CA",NaN,"$2,295+ 1 bd","$2,895+ 2 bds",NaN,NaN,NaN,NaN
102,"400 Dolores St APT 12, San Francisco, CA 94110",NaN,"$1,950/mo",Studio,1 ba,-- sqft,- Apartment for rent,NaN
103,"16 Laguna St APT 103, San Francisco, CA 94102",NaN,"$2,895/mo",2 bds,1 ba,721 sqft,- Apartment for rent,NaN
104,"414 Bryant St #1, San Francisco, CA 94107",NaN,"$2,100/mo",Studio,1 ba,178 sqft,- Apartment for rent,NaN
105,"1 Hill St #301, San Francisco, CA 94110",NaN,"$3,150/mo",2 bds,1 ba,548 sqft,- Apartment for rent,NaN
106,"381 Turk St. | 381 Turk St, San Francisco, CA",NaN,"$1,395 Studio","$1,895 1 bd",NaN,NaN,NaN,NaN
107,"Empire Court | 1091 Bush St, San Francisco, CA",NaN,"$1,395+ Studio","$1,825+ 1 bd",NaN,NaN,NaN,NaN
108,"140 Duboce Ave APT 205, San Francisco, CA 94103",NaN,"$2,895/mo",2 bds,1 ba,626 sqft,- Apartment for rent,NaN
109,"2136 Broderick | 2136 Broderick St, San Francisco, CA",NaN,"$1,750+ Studio",NaN,NaN,NaN,NaN,NaN
110,"1517 Baker St, San Francisco, CA 94115",NaN,"$5,900/mo",2 bds,2 ba,"1,600 sqft",- House for rent,NaN
111,"57 Taylor | 57 Taylor St, San Francisco, CA",NaN,"$1,495+ Studio","$1,695+ 1 bd",NaN,NaN,NaN,NaN
112,"(undisclosed Address), San Francisco, CA 94124",NaN,"$1,900/mo",1 bd,1 ba,400 sqft,- Apartment for rent,NaN
113,"77 Bluxome | 77 Bluxome St, San Francisco, CA",NaN,"$1,669+ Studio",NaN,NaN,NaN,NaN,NaN
114,"801 Jones St #103, San Francisco, CA 94109",NaN,"$1,450/mo",Studio,1 ba,400 sqft,- Apartment for rent,NaN
115,"1499 California St. | 1499 California St, San Francisco, CA",NaN,"$1,275+ Studio",NaN,NaN,NaN,NaN,NaN
116,"845 Sutter | 845 Sutter St, San Francisco, CA",NaN,"$1,450 Studio","$1,850+ 1 bd",NaN,NaN,NaN,NaN
117,"180 Avila St, San Francisco, CA 94123",NaN,"$8,500/mo",4 bds,1.5 ba,"2,750 sqft",- House for rent,NaN
118,"320-324 14th St #1, San Francisco, CA 94103",NaN,"$2,095/mo",1 bd,1 ba,484 sqft,- Apartment for rent,NaN
119,"526 Liberty St, San Francisco, CA 94114",NaN,"$15,000/mo",5 bds,3 ba,"2,400 sqft",- House for rent,NaN
120,"2420 Franklin St, San Francisco, CA",NaN,"$2,600+ 1 bd",NaN,NaN,NaN,NaN,NaN
121,"240 Dolores Street Apartments | 240 Dolores St, San Francisco, CA",NaN,"$2,599+ 1 bd",NaN,NaN,NaN,NaN,NaN
122,"Terra Vista | 70 Terra Vista Ave, San Francisco, CA",NaN,"$2,195+ 1 bd","$2,995+ 2 bds",NaN,NaN,NaN,NaN
123,"3000 23rd St #318, San Francisco, CA 94110",NaN,"$2,200/mo",1 bd,1 ba,600 sqft,- Apartment for rent,NaN
124,"855 Folsom St, San Francisco, CA",NaN,"$3,195+ 1 bd",NaN,NaN,NaN,NaN,NaN
125,"Carillon Tower | 1100 Gough St, San Francisco, CA",NaN,"$2,550+ 1 bd","$2,700+ 2 bds","$4,000 3 bds",NaN,NaN,NaN
126,"South Beach Marina Apartments | 2 Townsend St, San Francisco, CA",NaN,"$2,769+ 1 bd","$3,808+ 2 bds",NaN,NaN,NaN,NaN
127,"21 Beaumont Ave, San Francisco, CA 94118",NaN,"$2,950/mo",2 bds,1 ba,"3,116 sqft",- House for rent,NaN
128,"704 Bush St | 704 Bush St, San Francisco, CA",NaN,"$1,695 Studio","$5,500 2 bds",NaN,NaN,NaN,NaN
129,"320 Turk | 318 Turk St, San Francisco, CA",NaN,"$1,595+ Studio","$1,795 1 bd",NaN,NaN,NaN,NaN
130,"650 Ellis | 650 Ellis St, San Francisco, CA",NaN,"$1,445+ Studio",NaN,NaN,NaN,NaN,NaN
131,"4719 18th St, San Francisco, CA 94114",NaN,"$3,200/mo",1 bd,1 ba,840 sqft,- Townhouse for rent,NaN
132,"184 25th Ave, San Francisco, CA 94121",NaN,"$8,300/mo",5 bds,2 ba,"2,300 sqft",- House for rent,NaN
133,"1415 5th Ave APT 3, San Francisco, CA 94122",NaN,"$2,985/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
134,"3201 23rd St APT 303, San Francisco, CA 94110",NaN,"$2,945/mo",2 bds,1 ba,679 sqft,- Apartment for rent,NaN
135,"977 Pine | 977 Pine St, San Francisco, CA",NaN,"$2,195+ 1 bd",NaN,NaN,NaN,NaN,NaN
136,"Parkmerced | 3711 19th Ave, San Francisco, CA",NaN,"$2,800+ 1 bd","$4,045+ 2 bds","$4,674+ 3 bds",NaN,NaN,NaN
137,"747 Ellis | 747 Ellis St, San Francisco, CA",NaN,"$2,095+ 1 bd",NaN,NaN,NaN,NaN,NaN
138,"816 Geary St APT 33, San Francisco, CA 94109",NaN,"$1,495/mo",Studio,1 ba,269 sqft,- Apartment for rent,NaN
139,"Oak Shrader Apartments | 1995-1999 Oak St, San Francisco, CA",NaN,"$2,195 Studio","$2,895 1 bd","$3,795 2 bds","$3,895+ 3 bds",NaN,NaN
140,"415 Buchanan St #R, San Francisco, CA 94102",NaN,"$2,395/mo",1 bd,1 ba,570 sqft,- Apartment for rent,NaN
141,"540 Leavenworth | 540 Leavenworth St, San Francisco, CA",NaN,"$1,395+ Studio","$1,995+ 1 bd","$2,895 2 bds",NaN,NaN,NaN
142,"605 Jones | 605 Jones St, San Francisco, CA",NaN,"$1,495+ Studio","$1,995+ 1 bd",NaN,NaN,NaN,NaN
143,"Rincon Green | 333 Harrison St, San Francisco, CA",NaN,"$2,650+ Studio","$2,795+ 1 bd","$3,875+ 2 bds",NaN,NaN,NaN
144,"2737 Sutter | 2737 Sutter St, San Francisco, CA",NaN,"$3,395+ 2 bds",NaN,NaN,NaN,NaN,NaN
145,"970 Geary St | 970 Geary St, San Francisco, CA",NaN,"$1,995+ 1 bd",NaN,NaN,NaN,NaN,NaN
146,"150 Van Ness | 150 Van Ness Ave, San Francisco, CA",NaN,"$2,300+ Studio","$2,600+ 1 bd","$4,000+ 2 bds","$5,900+ 3 bds",NaN,NaN
147,"3875 18th Street | 3875 18th St, San Francisco, CA",NaN,"$3,395+ 2 bds",NaN,NaN,NaN,NaN,NaN
148,"91 Elgin Park, San Francisco, CA 94103",NaN,"$3,788/mo",2 bds,1 ba,"1,000 sqft",- Apartment for rent,NaN
149,"800 Lyon St #802, San Francisco, CA 94115",NaN,"$4,795/mo",3 bds,1 ba,886 sqft,- Apartment for rent,NaN
150,"3475 16th St #81PKCZZPX, San Francisco, CA 94114",NaN,"$2,495+/mo",1 bd,1 ba,700 sqft,- Apartment for rent,NaN
151,"861 Sutter St | 861 Sutter St, San Francisco, CA",NaN,"$1,695+ Studio","$2,495 2 bds",NaN,NaN,NaN,NaN
152,"2059 Golden Gate Ave #5, San Francisco, CA 94115",NaN,"$4,500/mo",2 bds,2 ba,"1,000 sqft",- Apartment for rent,NaN
153,"252 9th St #204, San Francisco, CA 94103",NaN,"$3,250/mo",2 bds,1 ba,815 sqft,- Apartment for rent,NaN
154,"1000-1010 Bush Street | 1000-1010 Bush St, San Francisco, CA",NaN,$900+ Studio,NaN,NaN,NaN,NaN,NaN
155,"2765 Gough St, San Francisco, CA",NaN,"$2,297+ 1 bd",NaN,NaN,NaN,NaN,NaN
156,"757 Leavenworth St #401, San Francisco, CA 94109",NaN,"$1,495/mo",Studio,1 ba,400 sqft,- Apartment for rent,NaN
157,"545 O'Farrell St. | 545 Ofarrell St, San Francisco, CA",NaN,"$1,425+ Studio","$1,995+ 1 bd",NaN,NaN,NaN,NaN
158,"839 Leavenworth St. | 839 Leavenworth St, San Francisco, CA",NaN,"$1,325+ Studio",NaN,NaN,NaN,NaN,NaN
159,"2128 Van Ness Ave #404, San Francisco, CA 94109",NaN,"$2,995/mo",2 bds,1 ba,620 sqft,- Apartment for rent,NaN
160,"1595 Pacific Ave, San Francisco, CA",NaN,"$3,175 1 bd","$7,500 2 bds",NaN,NaN,NaN,NaN
