,address,zip,building_type,price,beds,baths,sqft,agent,brokerage
409,500 Masonic Ave APT 3,94117,- Sold,1.31M,2 ,3 ,1235 , Gary G. Beyrouti,SOTHEBY'S INTERNATIONAL REALTY
410,3855 18th St #B,94114,- Sold,903700,1 ,1 ,717 , Ronald Sebahar,COMPASS
411,274 21st Ave,94121,- Sold,2.01M,4 ,2 ,1900 , Aaron M Bellings,COMPASS
412,3643 Folsom St,94110,- Sold,1.78M,3 ,2 ,0 , Shelley D. Trew,VANGUARD PROPERTIES
413,649 Fillmore St #653,94117,- Sold,2.60M,8 ,4 ,4650 , David W. Gowan,CORCORAN GLOBAL LIVING
414,18 Lapidge St,94110,- Sold,1.50M,2 ,1 ,1083 , Ruth Krishnan,COMPASS SF
415,35 Lucerne St #C,94103,- Sold,1.00M,1 ,2 ,1446 , Rob J. Costabile,KELLER WILLIAMS SAN FRANCISCO
416,111 Chestnut St UNIT 302,94111,- Sold,1.03M,2 ,2 ,1033 , Gail Y. Grendahl,COMPASS
417,115 Gennessee St,94112,- Sold,1.50M,3 ,2 ,1590 , Sandra Gandolfo,BARBCO
418,403 Main St APT 117N,94105,- Sold,875000,1 ,1 ,922 , Michelle Ye,KW PENINSULA ESTATES
419,3755 20th St,94110,- Sold,4.20M,4 ,3 ,3900 , Nathan K. Churchill,COLDWELL BANKER REALTY
420,525 Franconia St,94110,- Sold,1.80M,5 ,3 ,2753 , Sean Jeremy Weinstock,VANGUARD PROPERTIES
421,1000 Rhode Island St APT 2,94107,- Sold,1.43M,2 ,2 ,1077 , Michael B. Harrington,SOTHEBY'S INTERNATIONAL REALTY
422,245 Lakeshore Dr,94132,- Sold,2.15M,4 ,2 ,1774 , Burton Louie,COMPASS
423,190 Emmett Ct,94110,- Sold,1.51M,2 ,1 ,1209 , Wendy M. Storch,SOTHEBY'S INTERNATIONAL REALTY
424,2907 Octavia St,94123,- Sold,905000,2 ,1 ,0 , Drew N. Wilkerson,VANGUARD PROPERTIES
425,309 Oak Park Dr,94131,- Sold,1.73M,3 ,2 ,1603 , Tim A. Brown,KELLER WILLIAMS SAN FRANCISCO
426,469 Tehama St APT 1,94103,- Sold,653000,1 ,1 ,695 , Sherry Juneja,KELLER WILLIAMS SAN FRANCISCO
427,972 Plymouth Ave,94112,- Sold,1.40M,2 ,2 ,1100 , James P. Cullen,KELLER WILLIAMS SAN FRANCISCO
428,1954 Golden Gate Ave,94115,- Sold,1.38M,2 ,1 ,0 , Claire Myers,CORCORAN GLOBAL LIVING
429,308 Corbett Ave,94114,- Sold,2.16M,4 ,5 ,2365 , Judson B. Gregory,COMPASS
430,88 Townsend St APT 312,94107,- Sold,780000,1 ,1 ,591 , Tommy E. Gallegos,FOUR DOORS REAL ESTATE
431,820 Cayuga Ave,94112,- Sold,1.81M,3 ,3 ,2159 , Marcus Miller,HELM REAL ESTATE
432,104 Robinhood Dr,94127,- Sold,3.92M,5 ,4 ,3332 , Claudia L. Siegel,COMPASS
433,207 Caselli Ave,94114,- Sold,1.57M,2 ,1 ,1161 , Patricia A. Lawton,SOTHEBY'S INTERNATIONAL REALTY
434,555 Golden Gate Ave #402,94102,- Sold,829000,2 ,1 ,830 ,0,0
435,1725 Washington St APT 3,94109,- Sold,1.31M,2 ,2 ,0 , Gregg Lynn,SOTHEBY'S INTERNATIONAL REALTY
436,67 Los Palmos Dr,94127,- Sold,1.90M,3 ,2 ,1428 , Jessica Mussallem Rucker,LEGACY REAL ESTATE
437,2253 California St,94115,- Sold,2.60M,4 ,3 ,2490 , Victoria M. Stewart Davis,COMPASS
438,1545 Pine St APT 504,94109,- Sold,625000,Studio,1 ,630 ,0,0
439,1 Stanyan Blvd #43,94118,- Sold,1.32M,2 ,2 ,0 , Frank A. Nolan,VANGUARD PROPERTIES
440,8 Octavia St UNIT 604,94102,- Sold,1.30M,2 ,2 ,1001 , Deborah Svoboda,SOTHEBY'S INTERNATIONAL REALTY
441,2271 35th Ave,94116,- Sold,1.80M,3 ,2 ,1661 , Craig L. Epstein,COMPASS
442,195 San Anselmo Ave,94127,- Sold,5.00M,5 ,4 ,3660 , Robert R. Callan Jr.,SOTHEBY'S INTERNATIONAL REALTY
443,1450 Greenwich St APT 401,94109,- Sold,1.23M,1 ,1 ,858 , Ryan Richard,COMPASS
444,59 Robblee Ave,94124,- Sold,1.01M,2 ,2 ,0 , Terrence McCarthy,W REAL ESTATE
445,3140 Baker St,94123,- Sold,3.20M,4 ,3 ,2489 , Lyle Chip McAllister,COMPASS SF
446,8137 Geary Blvd #8139,94121,- Sold,1.72M,4 ,-- ,2600 , Myrick Tantiado,SF DWELL
447,1000 3rd St UNIT 820,94158,- Sold,988000,1 ,1 ,804 ,0,0
448,1725 Washington St APT 3,94109,- Sold,1.31M,2 ,2 ,0 , Gregg Lynn,SOTHEBY'S INTERNATIONAL REALTY
449,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0,0,0
456,2253 California St,94115,- Sold,2.6M,4 ,3 ,2490 , Victoria M. Stewart Davis,COMPASS
457,1439 Oakdale Ave,94124,- Sold,910000,2 ,1 ,1125 ,0,0
458,18 Manzanita Ave,94118,- Sold,3.88M,4 ,4 ,2982 , Greg Fulford,SOTHEBY'S INTERNATIONAL REALTY
459,1144 Treat Ave,94110,- Sold,1.59M,2 ,2 ,1633 , Mike Hood,COMPASS
460,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0
470,767 Panorama Dr,94131,- Sold,2.3M,3 ,3 ,1849 , Heidi I. Rossi,COMPASS
471,1332 Chestnut St,94123,- Sold,1.86M,3 ,3 ,1770 , Paul Warrin,GOLDEN GATE SOTHEBY'S INTL
472,324 Howth St,94112,- Sold,1.14M,3 ,2 ,1100 , Danielle H. Lazier,COMPASS
473,11 Clarendon Ave,94114,- Sold,4.1M,4 ,4 ,3920 , Michael H. Shaw,VANGUARD PROPERTIES
474,2114 Divisadero St,94115,- Sold,1.85M,2 ,2 ,1438 , Gretchen Levin,VANGUARD PROPERTIES
475,3237 17th St,94110,- Sold,1.3M,2 ,2 ,1134 , Lucy  Yeung,SF CITY PROPERTIES
476,324 Arguello Blvd APT 3,94118,- Sold,1.48M,2 ,1 ,1257 , Amanda M. Jones,COMPASS
477,250 King St UNIT 468,94107,- Sold,792000,1 ,1 ,795 , Arthur T. Zendarski,CORCORAN GLOBAL LIVING
478,3514 Pierce St,94123,- Sold,2.35M,2 ,2 ,1521 , Paul Warrin,GOLDEN GATE SOTHEBY'S INTL
479,1520 Kirkwood Ave,94124,- Sold,1.25M,-- ,-- ,2863 ,0,0
480,210 Pelican Cove Ter,94134,- Sold,1.07M,3 ,4 ,1525 , Kelly Quon Lutz,CORCORAN GLOBAL LIVING
481,2114 Divisadero St,94115,- Sold,1.85M,2 ,2 ,1438 , Gretchen Levin,VANGUARD PROPERTIES
482,2720 35th Ave,94116,- Sold,1.80M,3 ,2 ,1935 , Tanya S. Dzhibrailova,CORCORAN GLOBAL LIVING
483,74 Francis St,94112,- Sold,1.17M,2 ,1 ,1106 , Venturi & Paolini Real Estate,VENTURI & PAOLINI REAL ESTATE
484,1520 Kirkwood Ave,94124,- Sold,1.25M,-- ,-- ,2863 ,0,0
485,950 Tennessee St #227,94107,- Sold,1.14M,2 ,2 ,973 , Garrett R. Frakes,POLARIS PACIFIC
486,333 Main St UNIT 6D,94105,- Sold,979000,1 ,1 ,824 , Paul Hwang,SKYBOX REALTY
487,1150 Dolores St APT 3,94110,- Sold,1.08M,1 ,1 ,864 , Dan McLean,COLDWELL BANKER REALTY
488,4353 18th St,94114,- Sold,1.51M,3 ,4 ,1363 , Ryan B. Rudnick,GROBECKER HOLLAND INTERNATIONA
489,1532 Hayes St #1532,94117,- Sold,1.59M,3 ,2 ,1804 , Edmond D. O'Sullivan,ELEVATION REAL ESTATE
490,5428 Anza St,94121,- Sold,2.45M,3 ,3 ,2332 , Jessica J. Wynne,SOTHEBY'S INTERNATIONAL REALTY
491,320 Alabama St APT 3,94110,- Sold,1.75M,3 ,2 ,1948 , Julie E. Peisner,SOTHEBY'S INTERNATIONAL REALTY
492,1156 Stanyan St,94117,- Sold,1.73M,2 ,1 ,0 , Michelle C. Long,COMPASS
493,607 Texas St,94107,- Sold,1.75M,2 ,1 ,0 , Claudia L. Siegel,COMPASS
494,324 Howth St,94112,- Sold,1.14M,3 ,2 ,1100 , Danielle H. Lazier,COMPASS
495,3514 Pierce St,94123,- Sold,2.35M,2 ,2 ,1521 , Paul Warrin,GOLDEN GATE SOTHEBY'S INTL
496,1190 Sacramento St #8,94108,- Sold,1.73M,2 ,2 ,0 , John O. Asdourian,SOTHEBY'S INTERNATIONAL REALTY
497,338 Potrero Ave UNIT 508,94103,- Sold,950000,2 ,2 ,873 , Deborah L. Nguyen,COMPASS
498,250 King St UNIT 468,94107,- Sold,792000,1 ,1 ,795 , Arthur T. Zendarski,CORCORAN GLOBAL LIVING
499,2326 Ulloa St,94116,- Sold,2.30M,5 ,3 ,2870 , Alexander S. Varum,ALEX VARUM BROKER
500,11 Clarendon Ave,94114,- Sold,4.10M,4 ,4 ,3920 , Michael H. Shaw,VANGUARD PROPERTIES
501,2801 Jackson St APT 201,94115,- Sold,1.47M,1 ,1 ,1139 , David S. Ayerdi,SOTHEBY'S INTERNATIONAL REALTY
502,260 King St UNIT 525,94107,- Sold,930000,2 ,2 ,979 , Masoumeh M. Pahlbod,ENGEL & VOELKERS SAN FRANCISCO
503,451 Kansas St UNIT 458,94107,- Sold,1.23M,2 ,2 ,962 , Kendra A. Wall,COLDWELL BANKER REALTY
504,1332 Chestnut St,94123,- Sold,1.86M,3 ,3 ,1770 , Paul Warrin,GOLDEN GATE SOTHEBY'S INTL
505,668 Banks St,94110,- Sold,999990,4 ,2 ,1245 , Ying He,JENNY HE REALTY ASSOCIATES
506,324 Arguello Blvd APT 3,94118,- Sold,1.48M,2 ,1 ,1257 , Amanda M. Jones,COMPASS
507,1234 Grove St #1238,94117,- Sold,2.58M,-- ,-- ,5080 , Adam D. Filly,COMPASS
508,483 28th St #485,94131,- Sold,2.04M,5 ,3 ,2428 , Brandon Tran,COMPASS SF
509,114 Rousseau St,94112,- Sold,1.73M,5 ,4 ,2156 , Renee M. Gonsalves,COMPASS
510,240 Lombard St APT 437,94111,- Sold,525000,1 ,1 ,566 , Edward G. Bate,SOTHEBY'S INTERNATIONAL REALTY
511,5118 Diamond Heights Blvd #A,94131,- Sold,1.17M,3 ,2 ,1500 , Mollie W. Poe,INDIGO REAL ESTATE
512,2201 Sacramento St APT 102,94115,- Sold,1.60M,2 ,2 ,1533 , Nina Style,COLDWELL BANKER REALTY
513,55 Casa Way,94123,- Sold,4.65M,10 ,4 ,6642 , Jay H. Greenberg,COMPASS
514,1805 Fillmore St APT 304,94115,- Sold,1.40M,2 ,2 ,1215 , Drew N. Wilkerson,VANGUARD PROPERTIES
515,563 38th Ave,94121,- Sold,2.70M,4 ,3 ,2376 , Bair Malunov,BETTER HOMES AND GARDENS THRIV
516,50 Liberty St,94110,- Sold,4.00M,4 ,4 ,0 , Jason D. Gomez,ARG REAL ESTATE
517,1575 26th Ave,94122,- Sold,1.70M,2 ,1 ,1462 ,0,0
518,2204 Green St,94123,- Sold,2.80M,3 ,2 ,2188 , Nina Hatvany,COMPASS
519,3817 Folsom St,94110,- Sold,1.16M,3 ,-- ,0 , Anthony T. Christen,COLDWELL BANKER REALTY
520,555 Golden Gate Ave #201,94102,- Sold,775000,1 ,1 ,753 , Loring M. Aguillon-Racine,JS SULLIVAN SALES AND MARKETIN
521,563 38th Ave,94121,- Sold,2.70M,4 ,3 ,2376 , Bair Malunov,BETTER HOMES AND GARDENS THRIV
522,1688 Pine St #W906,94109,- Sold,800000,1 ,1 ,689 ,0,0
523,2204 Green St,94123,- Sold,2.80M,3 ,2 ,2188 , Nina Hatvany,COMPASS
524,483 28th St #485,94131,- Sold,2.04M,5 ,3 ,2428 , Brandon Tran,COMPASS SF
525,240 Lombard St APT 437,94111,- Sold,525000,1 ,1 ,566 , Edward G. Bate,SOTHEBY'S INTERNATIONAL REALTY
526,55 Casa Way,94123,- Sold,4.65M,10 ,4 ,6642 , Jay H. Greenberg,COMPASS
527,114 Rousseau St,94112,- Sold,1.73M,5 ,4 ,2156 , Renee M. Gonsalves,COMPASS
528,68 Richardson Ave,94123,- Sold,975000,1 ,1 ,989 ,0,0
529,956 Ashbury St,94117,- Sold,3.08M,4 ,3 ,2555 , INC.,BILL HARKINS BROKERAGE
530,2739 Larkin St,94109,- Sold,3.85M,3 ,3 ,0 , Maximillian D. Armour,COMPASS
531,135 Manor Dr,94127,- Sold,1.55M,2 ,2 ,1212 , Patrick Lowell,COMPASS
532,301 Main St UNIT 35A,94105,- Sold,2.12M,2 ,2 ,1268 , David  Virella,COMPASS
533,2278 14th Ave,94116,- Sold,2.00M,5 ,6 ,2388 , Beatrice S. Kopilenko,RE/MAX GOLD DALY CITY
534,1742 28th Ave,94122,- Sold,2.40M,2 ,1 ,1275 ,0,0
535,3 Capp St,94103,- Sold,1.01M,2 ,1 ,977 , INC.,HATCH REALTY GROUP
536,875 Union St,94133,- Sold,1.65M,3 ,2 ,1715 , John C. Fitzgerald,COMPASS
537,782 36th Ave,94121,- Sold,1.65M,3 ,2 ,1815 ,0,0
538,366 Melrose Ave,94127,- Sold,1.40M,3 ,2 ,1229 , Judson B. Gregory,COMPASS
539,2407 Harrison St APT 4,94110,- Sold,1.00M,1 ,2 ,976 , Pamela Parker Souza,CORCORAN GLOBAL LIVING
540,1108 Dolores St,94110,- Sold,1.73M,2 ,2 ,0 , Rob J. Costabile,KELLER WILLIAMS SAN FRANCISCO
541,15 Cityview Way,94131,- Sold,1.90M,2 ,2 ,1655 , Rochelle Vandermerwe,ARTEMIS REAL ESTATE
542,1001 Saddleback Dr,94134,- Sold,850000,3 ,2 ,1332 , Dexter Lim,COLDWELL BANKER REALTY
543,69 Jersey St,94114,- Sold,1.64M,2 ,1 ,0 , Miyuki Mia Takami,KELLER WILLIAMS SAN FRANCISCO
544,1954 48th Ave,94116,- Sold,1.49M,3 ,1 ,1179 , Kenneth A. Hagan,PINNACLE PROPERTIES
545,2999 California St #604,94115,- Sold,680000,1 ,1 ,653 ,0,0
546,102 Webster St,94117,- Sold,1.22M,2 ,1 ,1062 , Dale T. Boutiette,COMPASS SF
547,69 Summit Way,94132,- Sold,1.44M,3 ,3 ,2133 , Daniel Hendel,COLDWELL BANKER REALTY
548,890 Dolores St,94110,- Sold,2.37M,2 ,2 ,0 , Jean-Paul Samaha,VANGUARD PROPERTIES
549,1 Crescent Way APT 1104,94134,- Sold,608000,1 ,1 ,814 ,0,0
550,1909 Vallejo St,94123,- Sold,4.60M,4 ,4 ,2900 , Robert R. Callan Jr.,SOTHEBY'S INTERNATIONAL REALTY
551,146 Beaver St,94114,- Sold,1.27M,1 ,1 ,895 , Isabelle Grotte,COMPASS
552,986 Guerrero St,94110,- Sold,3.20M,3 ,2 ,0 , Lamisse Droubi,GENERATION REAL ESTATE
553,200 Brannan St APT 430,94107,- Sold,2.10M,2 ,2 ,1892 , Amy Yuen,BARBCO
554,690 Market St UNIT 1803,94104,- Sold,1.57M,2 ,2 ,1431 , Betty Xu,BARBCO
555,249 Shipley St APT 7,94107,- Sold,760000,1 ,2 ,893 , Carrie Buchanan-Goodman,SOTHEBY'S INTERNATIONAL REALTY
556,338 Main St UNIT 35A,94105,- Sold,2.65M,2 ,2 ,1572 , Justin Goldberg,COMPASS
557,683 Miramar Ave,94112,- Sold,2.20M,5 ,4 ,2753 , Janice Lee,COLDWELL BANKER REALTY
558,818 Van Ness Ave APT 704,94109,- Sold,1.19M,2 ,2 ,1147 , Robert N. Moffatt,SOTHEBY'S INTERNATIONAL REALTY
559,199 New Montgomery St UNIT 1608,94105,- Sold,839000,1 ,1 ,653 ,0,0
560,42 Clairview Ct,94131,- Sold,2.40M,5 ,2 ,2250 , Mary Macpherson,COMPASS SF
561,1200 California St UNIT 15A,94109,- Sold,1.80M,1 ,2 ,1450 , Stephen K. Gomez,GPK LUXURY REAL ESTATE
562,101 Lombard St APT 403W,94111,- Sold,1.23M,2 ,2 ,1423 , Lisa M. Marroquin,PARK NORTH REAL ESTATE
563,522 France Ave,94112,- Sold,1.42M,3 ,1 ,1352 , Juanjuan Huang,COMPASS
564,4194 17th St,94114,- Sold,1.90M,3 ,2 ,1361 ,0,0
565,440 Panorama Dr,94131,- Sold,1.77M,3 ,2 ,1684 , Deborah L. Nguyen,COMPASS
566,839 Hayes St,94117,- Sold,1.60M,4 ,2 ,1997 , Dan Dodd,INSPIRE REAL ESTATE
567,649 Darien Way,94127,- Sold,2.58M,3 ,2 ,2103 , Erik Reider,CORCORAN GLOBAL LIVING
568,1205 4th Ave APT A,94122,- Sold,965000,2 ,1 ,963 , REALTORS®,WEST & PRASZKER
569,300 Beale St APT 418,94105,- Sold,1.10M,1 ,1 ,1015 ,0,0
570,715 Ellsworth St,94110,- Sold,1.35M,3 ,2 ,1400 , Danielle H. Lazier,COMPASS
571,41 Littlefield Ter,94107,- Sold,899000,3 ,1 ,956 , Stanley Lo,GREEN BANKER
572,1000 N Point St APT 1106,94109,- Sold,908000,1 ,1 ,0 , Liliana M. DeMello,COMPASS
573,3731 Divisadero St,94123,- Sold,3.65M,4 ,3 ,2577 , Butch Haze,COMPASS
574,2691 22nd Ave,94116,- Sold,2.36M,4 ,4 ,2230 , Leon De-Levi,COMPASS
575,338 Spear St UNIT 42E,94105,- Sold,3.00M,3 ,2 ,1686 , Nina Hatvany,COMPASS
576,821 Folsom St APT 107,94107,- Sold,980000,2 ,2 ,1102 , Teresa A. Callan,COMPASS
577,1789 Washington St #403,94109,- Sold,1.37M,2 ,2 ,1050 , Taña M. Recacho,COMPASS
578,730 22nd Ave,94121,- Sold,1.10M,2 ,1 ,1425 ,0,0
579,330 Mission Bay Blvd #116,94158,- Sold,1.60M,2 ,2 ,1569 , Robyn L. Kaufman,COMPASS
580,570 Moscow St,94112,- Sold,1.91M,4 ,5 ,2115 , Juanjuan Huang,COMPASS
581,2162 31st Ave,94116,- Sold,1.56M,2 ,1 ,1485 , Sonny Chan,SEQUOIA REAL ESTATE
582,221 Warren Dr,94131,- Sold,1.95M,3 ,3 ,1770 , John M. Kirkpatrick,COMPASS
583,3975 Cesar Chavez St #3977,94131,- Sold,3.45M,4 ,4 ,0 , Ruth Krishnan,COMPASS SF
584,45 Dolores Ter,94110,- Sold,1.36M,2 ,2 ,0 , Chris J. Panou,SOTHEBY'S INTERNATIONAL REALTY
585,250 King St UNIT 1504,94107,- Sold,630000,1 ,1 ,595 , Miyuki Mia Takami,KELLER WILLIAMS SAN FRANCISCO
586,4101 23rd St,94114,- Sold,1.62M,4 ,2 ,1525 , Steven M. Crane,MORLEY FREDERICKS REAL ESTATE
587,270 Bayview Cir,94124,- Sold,970000,2 ,2 ,1601 , Matthew Tatsumi Gomez,VANGUARD PROPERTIES
588,2339 Laguna St,94115,- Sold,4.45M,4 ,5 ,3405 , Joan F. Gordon,CITY REAL ESTATE
589,176 Merced Ave,94127,- Sold,2.32M,2 ,2 ,1674 , Andrew Herrera II,BERKSHIRE HATHAWAY-FRANCISCAN
590,1155 Filbert St APT 402,94109,- Sold,1.30M,2 ,2 ,850 , Bridget R. Cannata Denning,COMPASS
591,273 Chattanooga St,94114,- Sold,1.71M,3 ,2 ,1253 , Connie Chung,COMPASS
592,1905 Laguna St APT 305,94115,- Sold,1.08M,1 ,1 ,768 , Eduardo Aguire,CORCORAN GLOBAL LIVING
593,175 Bluxome St UNIT 211,94107,- Sold,925000,2 ,2 ,1076 ,0,0
594,401 Crescent Ct APT 4306,94134,- Sold,680000,2 ,2 ,935 , Brian Ngai,FAR EAST REALTY
595,43 Downey St,94117,- Sold,2.10M,3 ,2 ,1558 , John R. Solaegui,COMPASS SF
596,355 1st St UNIT 1208,94105,- Sold,738000,1 ,1 ,0 , Robyn L. Kaufman,COMPASS
